packageSizes	blocking_one_node	non_blocking_one_node	blocking_flood_two_nodes	non_blocking_two_nodes
132766.0	27567118622.952179	1391677148846.9602	28124218865.846165	428415617941.27142
142262.0	26757575187.616379	662917054986.02051	27371236171.236172	497245718280.32159
152436.0	27207110730.34911	710326188257.22278	28800090687.524799	491887705711.51984
163339.0	27736758987.247196	1712148846960.1677	27624644838.316872	570915763718.97937
175020.0	27806110290.262619	1834591194968.5535	28234041523.496105	564762826718.29626
187538.0	28812991642.08456	1965807127882.5996	29350507073.995243	983418982695.33301
200950.0	29573650826.355061	2106394129979.0359	29994328019.58326	1053749344520.1887
215322.0	29905002638.815586	2257044025157.2329	28670607973.156509	694811229428.84802
230722.0	30819229793.088711	744504678928.68665	29148127092.413616	333702632340.17938
247223.0	30953173907.59985	2591436058700.21	30498013865.929779	864113946172.66687
264904.0	30440688093.952175	1389113791295.228	29393932669.048622	854804775734.10779
283850.0	31579591473.454674	2975366876310.2729	29838429921.475048	1488463555322.4961
304151.0	30087447694.60574	1594918720503.4084	28667527522.244007	981448854469.18359
325904.0	31351694548.392994	3416184486373.166	28597100838.861397	1051642465311.3909
349212.0	31163782717.724014	1627269338303.821	27531910532.249542	1126853823814.1335
374188.0	30181806449.531368	3922306079664.5703	29226359241.121292	1307892345333.7993
400949.0	30856947159.414494	4202819706498.9521	29045014633.01556	1401429570080.3914
429625.0	30908718111.051956	2001980428704.5667	29017344554.161209	1386334301387.5444
460351.0	31142673521.850899	4825482180293.501	29344335443.239697	2145158434296.3652
493276.0	31253033269.341648	2586659674882.0137	28695520651.541595	1724138413142.2581
528554.0	30039499184.441299	4434177852348.9932	29677538896.905651	1705563084866.0859
566356.0	24952461515.415863	5936645702306.0801	28585647517.236504	2969879391714.7349
606862.0	30338094214.454617	6361236897274.6338	29023544547.163223	2121153442852.1497
650264.0	29677919920.404186	3409879391714.7349	29295393930.65667	2098302678283.3174
696770.0	30410701815.642456	5845385906040.2686	28209083327.260506	3653749344520.1885
746603.0	29995018259.685268	7826027253668.7637	29880494510.992023	2609587556798.3223
799999.0	30066672930.564693	inf	28581294234.073948	3727861136999.0679
857215.0	29862291678.278805	4495097011012.0605	29887071243.785255	2996207619713.3867
918522.0	30004409905.628021	9628113207547.1699	29431317889.070461	3210492834673.1914
984215.0	30022481438.32399	8256837248322.1484	30000701082.715569	3175911584382.0591
1054605.0	30214012519.875664	4914282385834.1104	29627148070.42384	3403049370764.7632
1130030.0	28246089395.249786	11845178197064.99	29347922066.454399	3949772806710.9404
1210848.0	29821859137.446526	12692327044025.158	29458584934.579624	4232254456483.7471
1297448.0	29834964070.135098	10884630872483.223	29900489027.981987	4186666666666.667
1390240.0	28196734611.094208	14572746331236.898	29964458372.758171	4486092287834.7852
1489669.0	29375310579.827892	7811583639223.9111	28005929552.256763	5206812303390.4229
1596209.0	29781963374.474079	13391015100671.141	29729046653.219574	7438066169617.8936
1710369.0	29437047567.578732	17928396226415.094	29233129201.355713	5978220901782.5938
1832694.0	29564921405.157059	19210628930817.609	28908897319.21035	5913823814133.5918
1963767.0	29259820486.68848	20584559748427.676	29228638533.989021	10297676979549.029
2104214.0	30318513737.039577	6789977412068.4092	29756261047.868202	2674395017793.5942
2254706.0	27871869105.041817	10506551724137.932	27667989913.058414	7275592126492.417
2415961.0	30086912230.975574	11257972972972.973	29422966847.47794	8444463474309.6816
2588749.0	30855356706.535797	27135733752620.547	29521464151.149956	8353497902549.21
2773894.0	30893678916.207439	29076457023060.797	29195872425.791866	8950932558889.9648
2972281.0	29520828491.461422	31155985324947.59	29810273341.985386	10388958406151.695
3184857.0	30359671014.125271	14840899347623.486	29488433718.876038	10277047434656.342
3412636.0	29702499436.436573	35771865828092.242	30197539341.511929	17895312008390.141
3656705.0	30754638589.12542	38330241090146.75	29804377203.721245	19175170424750.918
3918230.0	30049827020.402466	41071593291404.617	29005018950.60997	13695316322963.998
4198459.0	30335248045.548473	44009004192872.117	29670794776.588787	19564114631873.254
4498730.0	30292254642.588524	inf	30051034381.408524	23590613529103.305
4820476.0	30240109104.573395	50529098532494.766	29108187831.925873	25277797587834.293
5165233.0	30839218790.954159	43332491610738.258	30102197157.291893	54142903563941.305
5534647.0	29864900595.06979	58015167714884.703	29455639957.274624	58015167714884.703
5930481.0	31034608893.598648	62164371069182.391	29636890088.038914	49752357382550.336
6354625.0	30905875235.029827	66610324947589.102	29542489767.607059	66610324947589.102
6809104.0	31063147234.058083	71374255765199.172	30075242168.476204	71374255765199.172
7296086.0	30525691735.986004	5186668088433.9229	29034156117.236759	1877434511862.4878
7817897.0	30372949614.350147	81948605870020.969	29907552387.681656	81948605870020.969
8377028.0	30992156350.596069	87809517819706.5	29811476935.417461	70277080536912.758
8976147.0	31060707879.103294	94089591194968.562	29891773969.140308	47069465128474.039
9618115.0	30965076331.638508	738849028630.24951	29575735640.733829	287946824180.29846
10305996.0	30949011288.916008	108029308176100.64	29708923923.101536	48024212488350.422
11043074.0	31355275348.467697	115755492662473.8	29748242069.276333	115755492662473.8
11832867.0	31362174772.473915	124034245283018.88	29738532704.962692	124034245283018.88
12679145.0	30985369422.807259	106368666107382.55	30447834275.766956	59082688723205.961
13585949.0	31639975043.777027	142410366876310.28	30564042099.617645	71242522286313.578
14557606.0	31173237999.488213	152595450733752.62	29751513571.046688	67836001863932.898
15598756.0	31846733132.2882	inf	30027045746.002522	72687586206896.547
16714369.0	31812473472.743778	175203029350104.84	29661580795.677319	77886155638397.016
17909769.0	31687764101.281132	187733427672956.0	29939823688.774281	93915936025170.422
19190663.0	32049161615.21526	inf	29873618256.68008	201159989517819.72
20563166.0	31601996028.84314	95820904007455.734	29874670644.69376	34501956375838.926
22033829.0	32049028674.459694	184847558724832.22	29916992397.000511	115541840587309.91
23609673.0	31849399223.78661	inf	30456462393.552483	123805312008390.14
25298221.0	32137514790.012939	265180513626834.41	30238936671.627956	265180513626834.41
27107532.0	32440434490.085918	284146037735849.06	30352445133.884274	126316551724137.92
29046244.0	31869824392.664188	243676543624161.09	30491498332.88089	135350624417520.97
31123611.0	32169020527.696774	326243301886792.5	30579032075.667645	326243301886792.5
33349550.0	32368713251.066189	349575995807127.88	30226932551.247353	349575995807127.88
35734687.0	32459586166.853996	374577431865828.12	31818056110.322319	374577431865828.12
38290407.0	32480202258.999928	401366949685534.62	31930017716.843712	200788710015731.5
41028910.0	32438777790.129208	430072431865828.12	32041357330.758293	215148977451494.5
43963269.0	32623059597.28952	460830911949685.56	30083255171.269863	230536282118510.75
47107492.0	32425230774.483215	395197080536912.75	31242392593.003292	493789224318658.31
50476587.0	32653795836.708855	529104685534591.25	31694684577.63475	235212427772600.19
54086638.0	32465017504.528069	566945890985325.0	31561668529.712528	283621594126900.88
57954876.0	32457020467.708038	486198624161073.88	31276424061.187187	607493459119496.88
62099769.0	32428045632.748459	650940974842767.38	30459147607.638416	650940974842767.38
66541101.0	32482583126.13866	697495817610062.88	31587040223.678493	558230713087248.38
71300075.0	32603346096.638226	747380241090146.75	31719790512.580601	747380241090146.75
76399406.0	32561637549.417679	800832348008385.75	31288001908.091515	800832348008385.75
81863439.0	32459836802.793598	858107327044025.25	31852181813.923061	381469892823858.31
87718255.0	32529377798.005829	735891401006711.5	30996843255.718479	459980361824855.75
93991804.0	32582893342.141647	inf	31221208463.120251	985239035639413.0
100714032.0	32506253838.600567	1055702641509434.0	31913908967.151539	844916375838926.25
107917030.0	32572002193.177448	905344211409396.0	32179499156.681293	1131205765199161.5
115635181.0	32464447646.229458	970093800335570.5	32087720061.102402	538840545200372.75
123905329.0	32494645367.146034	inf	32277087582.598049	1298797997903564.0
132766952.0	32561584242.666553	1391687127882599.8	32373610724.594223	1113816711409396.0
142262352.0	32560368548.165272	1491219622641509.5	31613969810.291317	746000797063450.38
152436857.0	19616140478.757195	1597870618448637.5	30294121563.253418	799354257996853.62
163339035.0	15498381712.310118	1712149213836478.0	32701207359.172512	1712149213836478.0
175020929.0	16950862053.586329	1468296384228188.0	33196958642.123756	1834600932914046.2
187538305.0	21743614955.382866	605157486285898.75	33014323141.989243	271244294185710.16
200950914.0	22646157489.148827	inf	32485747842.197159	1053754137388568.4
215322784.0	7058724527.589118	2257052243186583.0	32614303765.261478	1003368052190121.1
230722520.0	519870953.3596397	1935591610738255.0	33005132405.111317	2418475052410901.5
247223634.0	752775819.95691824	2591442704402516.0	6275508130.1107092	2074023775167785.2
264904897.0	957395757.99790037	2776780890985325.0	350601699.04361272	2776780890985325.0
283850711.0	499790237.58548868	2381297911073825.5	1244324426.2798948	1488467283691662.2
304151517.0	1773928139.6837113	3188171037735849.5	789942811.40729427	1417295046598322.5
325904222.0	436919127.79293454	inf	750372063.21878672	1708989103303618.2
349212665.0	760004025.35069931	3660510115303983.5	640389511.42717433	1627272437092264.8
374188113.0	492408443.02062517	inf	561798795.37446558	3922307264150943.5
400949786.0	911008499.09127057	3363672701342282.0	784959377.64335573	4202827945492662.5
429625437.0	611953934.52770019	4503411289308176.5	593025737.61396909	4503411289308176.5
460351949.0	503833588.25825953	4825492127882600.0	650879209.58361995	2414011269008914.5
493276001.0	660891156.05612707	4138221484899329.0	526869351.26860362	2298583415657036.5
528554758.0	570965694.87861216	5540406268343816.0	691088014.9874388	2771655783953854.0
566356627.0	493911769.54907179	5936652274633124.0	659513500.15004706	2639126873252563.0
606862060.0	606753694.15427625	358496018431001.94	533169316.43814224	160083900920625.72
650264412.0	694053727.88047957	6816188805031447.0	758231415.3322463	3030123075489282.5
696770871.0	468266165.24651009	7303677893081761.0	530232482.20309925	7303677893081761.0
746603440.0	666096674.38686442	7826031865828093.0	678200787.88740551	3915067855270057.5
