thread-root,total-thread-count,matrix-width,matrix-size,copy-to-device[ms],bandwidth-to-device[GB/s],copy-from-device[ms],bandwidth-from-device[GB/s],kernel-matrix-multiplication[ms],cpu-matrix-multiplication[ms],speedup-kernel,speedup-overall
        24,       576,      1400,   1960000,   2.65506,    5.9057,   1.20429,   6.51004,   109.462,   2297.22,   20.9865,   20.2718
        24,       576,      1500,   2250000,   3.00728,   5.98548,   1.37792,   6.53158,   135.617,   2839.17,   20.9353,   20.2795
        24,       576,      1600,   2560000,   3.40971,   6.00637,   1.56468,   6.54446,   160.181,   3408.49,    21.279,   20.6381
        25,       625,      1100,   1210000,   1.63068,   5.93617,  0.747384,   6.47592,   52.4934,   1091.79,   20.7987,   19.8973
        25,       625,      1200,   1440000,   1.93722,   5.94666,  0.885812,   6.50251,   67.9406,   1424.12,   20.9612,    20.125
        25,       625,      1300,   1690000,   2.26695,   5.96396,   1.03674,   6.52043,   87.0397,   1825.27,   20.9705,   20.2037
        25,       625,      1400,   1960000,   2.62342,   5.97693,   1.20059,    6.5301,    112.62,   2283.04,   20.2721,   19.6064
        25,       625,      1500,   2250000,   3.00386,    5.9923,   1.37555,   6.54284,   144.542,   2844.43,   19.6789,   19.1002
        25,       625,      1600,   2560000,   3.40636,   6.01229,   1.56384,   6.54798,    183.51,   3412.54,   18.5959,   18.1056
        26,       676,      1100,   1210000,   1.63299,   5.92779,  0.746338,     6.485,    54.574,   1092.69,   20.0221,   19.1857
        26,       676,      1200,   1440000,   1.93792,   5.94452,  0.884764,   6.51021,   73.9642,   1419.05,   19.1856,   18.4804
        26,       676,      1300,   1690000,   2.26792,    5.9614,   1.03842,    6.5099,   92.1117,   1821.27,   19.7724,   19.0873
        26,       676,      1400,   1960000,   2.62238,   5.97931,   1.20513,   6.50552,   115.432,   2283.26,   19.7802,   19.1453
        26,       676,      1500,   2250000,   3.00421,    5.9916,   1.37792,   6.53157,    144.97,   2838.04,   19.5767,   19.0023
        26,       676,      1600,   2560000,   3.41285,   6.00085,   1.56307,   6.55119,   181.452,   3413.18,   18.8103,   18.3083
        27,       729,      1100,   1210000,   1.63229,   5.93032,  0.747873,   6.47169,   55.5333,   1094.26,   19.7046,   18.8948
        27,       729,      1200,   1440000,   1.93701,    5.9473,  0.889933,    6.4724,   75.0342,   1421.18,   18.9404,   18.2527
        27,       729,      1300,   1690000,   2.26716,   5.96342,   1.03681,   6.51999,   97.7393,   1830.05,   18.7238,   18.1115
        27,       729,      1400,   1960000,   2.62656,   5.96978,   1.20101,   6.52783,   123.363,   2305.24,   18.6867,   18.1244
        27,       729,      1500,   2250000,   3.00644,   5.98714,   1.37632,   6.53919,   148.107,   2846.39,   19.2184,   18.6661
        27,       729,      1600,   2560000,    3.4278,   5.97468,    1.5644,   6.54563,   184.155,    3411.4,   18.5247,   18.0357
        28,       784,      1100,   1210000,   1.63369,   5.92525,  0.746965,   6.47955,   65.9805,   1092.91,   16.5641,   15.9873
        28,       784,      1200,   1440000,   1.93869,   5.94217,  0.886092,   6.50045,    84.043,   1419.54,   16.8906,   16.3414
        28,       784,      1300,   1690000,   2.26883,   5.95901,   1.03919,   6.50509,    108.75,   1825.97,   16.7905,   16.2949
        28,       784,      1400,   1960000,   2.62587,   5.97136,   1.20401,   6.51155,   135.503,   2283.96,   16.8554,   16.3921
        28,       784,      1500,   2250000,   3.00672,   5.98659,   1.37688,   6.53654,   165.798,   2898.52,   17.4823,   17.0319
        28,       784,      1600,   2560000,   3.46098,    5.9174,   1.57439,   6.50411,   201.976,    3438.8,   17.0257,   16.6116
        29,       841,      1100,   1210000,   1.64374,     5.889,  0.748223,   6.46866,   63.8927,   1105.45,   17.3017,   16.6774
        29,       841,      1200,   1440000,     1.975,    5.8329,  0.890212,   6.47037,   82.5881,   1428.49,   17.2966,   16.7166
        29,       841,      1300,   1690000,   2.27163,   5.95169,   1.03807,   6.51208,   105.583,   1822.61,   17.2623,   16.7376
        29,       841,      1400,   1960000,   2.62224,   5.97963,   1.20157,    6.5248,   134.669,   2282.81,   16.9512,   16.4832
        29,       841,      1500,   2250000,   3.00434,   5.99133,   1.37652,   6.53821,   163.564,   2842.73,   17.3799,   16.9266
        29,       841,      1600,   2560000,   3.41795,   5.99189,   1.56398,   6.54739,    199.23,   3415.55,   17.1438,   16.7256
        30,       900,      1100,   1210000,   1.63669,   5.91438,  0.746616,   6.48258,   63.6604,   1117.35,   17.5518,   16.9184
        30,       900,      1200,   1440000,   1.93701,   5.94731,  0.889024,   6.47902,   80.3587,   1420.48,   17.6767,   17.0762
        30,       900,      1300,   1690000,   2.27044,    5.9548,   1.03681,   6.51999,   105.706,   1827.92,   17.2926,    16.768
        30,       900,      1400,   1960000,    2.6221,   5.97994,   1.20164,   6.52441,   132.101,   2304.83,   17.4474,   16.9566
        30,       900,      1500,   2250000,   3.00358,   5.99286,   1.37645,   6.53854,   160.258,   2841.38,     17.73,   17.2583
        30,       900,      1600,   2560000,   3.41418,   5.99851,   1.56426,   6.54621,   193.558,   3413.49,   17.6355,   17.1933
        31,       961,      1100,   1210000,   1.63152,   5.93312,  0.745987,   6.48805,   62.3869,   1116.55,   17.8973,   17.2403
        31,       961,      1200,   1440000,   1.94309,    5.9287,  0.893007,   6.45012,   79.3943,   1431.74,   18.0333,   17.4113
        31,       961,      1300,   1690000,   2.29209,   5.89854,   1.06139,   6.36898,   101.995,   1858.52,   18.2217,   17.6417
        31,       961,      1400,   1960000,   2.64885,   5.91955,   1.21037,   6.47737,     130.5,   2306.18,   17.6719,   17.1643
        31,       961,      1500,   2250000,     3.004,   5.99202,   1.37611,   6.54018,    159.19,   2841.71,   17.8511,   17.3731
        31,       961,      1600,   2560000,   3.41299,    6.0006,   1.56426,   6.54621,   191.124,   3411.04,   17.8473,   17.3943
        32,      1024,      1100,   1210000,   1.63334,   5.92651,  0.745846,   6.48928,   58.2062,   1093.78,   18.7916,   18.0536
        32,      1024,      1200,   1440000,    1.9368,   5.94796,  0.885533,   6.50456,   72.1518,   1418.49,   19.6599,   18.9198
        32,      1024,      1300,   1690000,    2.2703,   5.95517,     1.038,   6.51252,   95.5234,   1848.13,   19.3474,   18.6998
        32,      1024,      1400,   1960000,   2.62251,     5.979,   1.20129,   6.52632,   117.232,   2285.52,   19.4958,     18.88
        32,      1024,      1500,   2250000,   3.00435,   5.99131,   1.37569,   6.54219,   144.914,   2841.47,    19.608,   19.0327
        32,      1024,      1600,   2560000,   3.41257,   6.00134,   1.56566,   6.54038,   165.774,   3426.65,   20.6706,   20.0679
         1,         1,      1700,   2890000,   3.89588,   5.93447,   1.83483,   6.30031,   13966.6,   4209.67,  0.301409,  0.301286
         1,         1,      1800,   3240000,    4.3609,   5.94373,   1.99058,   6.51068,   17421.2,   4914.13,  0.282078,  0.281975
         1,         1,      1900,   3610000,   4.86739,   5.93336,   2.21443,   6.52088,   20950.6,   5845.71,  0.279024,   0.27893
         1,         1,      2000,   4000000,   5.36306,   5.96674,   2.44833,   6.53508,   24903.4,   6693.77,  0.268789,  0.268705
         1,         1,      2100,   4410000,      5.91,   5.96954,   2.71792,   6.49026,   29859.7,   7930.12,   0.26558,  0.265503
         2,         4,      1700,   2890000,   3.89553,     5.935,   1.77602,   6.50892,   4610.63,    4176.3,  0.905799,  0.904686
         2,         4,      1800,   3240000,   4.36047,   5.94431,   1.98883,   6.51638,   5441.19,   4900.05,  0.900548,  0.899498
         2,         4,      1900,   3610000,   4.84749,   5.95772,    2.2124,   6.52685,   6502.52,   5848.76,   0.89946,  0.898485
         2,         4,      2000,   4000000,   5.36627,   5.96317,   2.44987,   6.53097,    7643.6,   6692.17,  0.875526,  0.874632
         2,         4,      2100,   4410000,   5.92348,   5.95596,   2.69774,   6.53882,   8930.16,   7924.28,  0.887362,  0.886506
         3,         9,      1700,   2890000,   3.89393,   5.93744,   1.77142,   6.52585,   2165.01,   4179.39,   1.93043,   1.92539
         3,         9,      1800,   3240000,   4.36089,   5.94374,   1.98828,   6.51821,   2563.61,   4899.53,   1.91118,   1.90646
         3,         9,      1900,   3610000,   4.85216,   5.95199,   2.20981,   6.53449,   3034.68,   5854.76,   1.92929,   1.92481
         3,         9,      2000,   4000000,    5.3718,   5.95704,   2.44616,   6.54086,    3524.3,   6697.17,   1.90028,   1.89608
         3,         9,      2100,   4410000,    5.9415,   5.93789,   2.69753,   6.53932,   4089.62,   7917.83,   1.93608,     1.932
         4,        16,      1700,   2890000,   3.89505,   5.93574,   1.76981,   6.53178,   1273.58,   4180.36,   3.28237,   3.26783
         4,        16,      1800,   3240000,   4.35852,   5.94698,   1.98276,   6.53635,   1523.67,   4906.44,   3.22014,   3.20679
         4,        16,      1900,   3610000,   4.84881,    5.9561,   2.20786,   6.54027,   1784.12,   5853.46,   3.28087,   3.26794
         4,        16,      2000,   4000000,   5.37068,   5.95828,    2.4449,   6.54422,   2087.93,   6693.79,   3.20594,   3.19398
         4,        16,      2100,   4410000,   5.91167,   5.96785,   2.69389,   6.54815,   2408.86,   7919.61,    3.2877,     3.276
         5,        25,      1700,   2890000,   3.89658,   5.93341,   1.76918,   6.53411,   868.173,   4183.54,   4.81879,   4.78754
         5,        25,      1800,   3240000,   4.37675,    5.9222,   1.98234,   6.53773,   1030.55,   4907.72,   4.76224,   4.73304
         5,        25,      1900,   3610000,   4.84854,   5.95644,   2.21268,   6.52601,   1213.05,   5849.89,   4.82247,   4.79456
         5,        25,      2000,   4000000,    5.3653,   5.96425,   2.44484,    6.5444,   1415.26,   6691.71,   4.72824,   4.70229
         5,        25,      2100,   4410000,   5.92446,   5.95497,   2.69333,    6.5495,   1639.05,   7919.75,    4.8319,   4.80663
         6,        36,      1700,   2890000,   3.89316,   5.93862,   1.76785,   6.53901,   525.228,   4182.55,   7.96331,    7.8784
         6,        36,      1800,   3240000,   4.36159,   5.94278,   1.98332,    6.5345,   617.763,   4937.15,   7.99199,   7.91074
         6,        36,      1900,   3610000,   4.84749,   5.95773,   2.20234,   6.55666,   728.316,      5851,    8.0336,   7.95658
         6,        36,      2000,   4000000,    5.3681,   5.96114,   2.44197,   6.55208,     950.5,   6691.45,   7.03993,   6.98255
         6,        36,      2100,   4410000,   5.91139,   5.96814,   2.68496,   6.56993,   982.893,   7915.36,   8.05312,    7.9833
         7,        49,      1700,   2890000,   3.88939,   5.94437,   1.76338,   6.55558,   417.651,    4176.6,   10.0002,   9.86668
         7,        49,      1800,   3240000,   4.35999,   5.94497,   1.97627,   6.55782,    495.13,   4905.15,   9.90681,   9.78163
         7,        49,      1900,   3610000,   4.85028,    5.9543,   2.20122,   6.55998,   582.668,   5852.42,   10.0442,   9.92408
         7,        49,      2000,   4000000,   5.36823,   5.96099,   2.43722,   6.56485,   683.653,   6691.93,   9.78849,     9.678
         7,        49,      2100,   4410000,   5.91266,   5.96686,   2.68754,   6.56363,   787.296,   7909.69,   10.0467,   9.93809
         8,        64,      1700,   2890000,   3.89455,    5.9365,   1.76199,   6.56077,   337.245,   4175.48,   12.3811,   12.1769
         8,        64,      1800,   3240000,   4.35754,    5.9483,   1.97962,   6.54672,     389.2,   4914.53,   12.6273,    12.425
         8,        64,      1900,   3610000,   4.84812,   5.95695,   2.20318,   6.55415,   467.691,   5850.64,   12.5096,   12.3238
         8,        64,      2000,   4000000,    5.3674,   5.96192,   2.44581,   6.54179,   537.437,   6698.19,   12.4632,   12.2846
         8,        64,      2100,   4410000,   5.91343,   5.96608,   2.68859,   6.56106,   633.868,   7929.24,   12.5093,   12.3418
         9,        81,      1700,   2890000,    3.9146,   5.90609,   1.76429,    6.5522,   269.199,   4196.13,   15.5875,   15.2654
         9,        81,      1800,   3240000,   4.35748,   5.94839,   1.97668,   6.55644,   318.548,   4904.63,   15.3968,   15.0966
         9,        81,      1900,   3610000,   4.85203,   5.95214,   2.20081,   6.56122,   380.388,   5856.99,   15.3974,   15.1171
         9,        81,      2000,   4000000,   5.36531,   5.96425,   2.43729,   6.56466,   461.173,   6695.62,   14.5187,   14.2771
         9,        81,      2100,   4410000,   5.91266,   5.96686,    2.6969,   6.54084,   521.943,   7924.16,   15.1821,   14.9357
        10,       100,      1700,   2890000,   3.89337,    5.9383,   1.76283,   6.55765,   266.457,   4197.69,   15.7537,   15.4263
        10,       100,      1800,   3240000,   4.37424,    5.9256,   1.97494,   6.56223,   323.035,   4911.83,   15.2053,   14.9122
        10,       100,      1900,   3610000,   4.84568,   5.95995,   2.20108,    6.5604,   376.686,   5856.78,   15.5482,   15.2627
        10,       100,      2000,   4000000,   5.36796,    5.9613,   2.43659,   6.56654,   455.766,   6688.49,   14.6753,   14.4282
        10,       100,      2100,   4410000,   5.90798,   5.97159,   2.68356,   6.57336,   530.138,   7921.25,   14.9419,   14.7036
        11,       121,      1700,   2890000,   3.89358,   5.93798,   1.76283,   6.55765,    232.94,   4178.76,   17.9392,   17.5139
        11,       121,      1800,   3240000,   4.35747,    5.9484,   1.97473,   6.56293,   277.465,   4906.69,    17.684,   17.2894
        11,       121,      1900,   3610000,   4.85084,   5.95361,   2.20053,   6.56206,   331.649,   5852.95,    17.648,   17.2806
        11,       121,      2000,   4000000,   5.36558,   5.96394,   2.43653,   6.56673,   399.264,   6695.51,   16.7696,   16.4482
        11,       121,      2100,   4410000,   5.91231,   5.96721,   2.68523,   6.56926,    461.68,    7918.1,   17.1506,   16.8371
        12,       144,      1700,   2890000,   3.89505,   5.93574,   1.76429,    6.5522,   227.909,   4201.48,   18.4349,   17.9882
        12,       144,      1800,   3240000,   4.35817,   5.94745,   1.97438,    6.5641,   267.992,   4909.65,   18.3201,   17.8972
        12,       144,      1900,   3610000,   4.84721,   5.95806,   2.20116,   6.56018,   317.559,   5852.54,   18.4298,   18.0296
        12,       144,      2000,   4000000,   5.37815,      5.95,   2.43869,   6.56089,   381.231,   6699.93,   17.5745,   17.2213
        12,       144,      2100,   4410000,   5.91182,   5.96771,    2.6853,   6.56909,   442.355,    7925.7,    17.917,   17.5755
        13,       169,      1700,   2890000,   3.89442,    5.9367,   1.76534,   6.54832,   323.221,   4181.68,   12.9375,   12.7149
